,Title,Plot,Genre
9723,Kill or Be Killed,"A famous martial artist, Steve Chase (James Ryan), travels to the desert for what he thinks is an Olympic-style competition. The competition turns out to be a trap set by Baron von Rudloff (Norman Coombes), an ex-Nazi General who is still bitter over the humiliating defeat of his martial arts team at the 1936 Summer Olympics by Japanese martial artist Miyagi (Raymond Ho-Tong). Steve wants to escape when his girlfriend and fellow karateka, Olga (Charlotte Michelle), is deemed unsuitable to continue as part of von Rudloff's team. When Steve and Olga make their escape, von Rudloff sends his sympathetic dwarf henchman Chico (Danie DuPlessis) to travel around the world to recruit the best fighters for his team.
In an attempt to get Steve back on his team, von Rudloff sends one of his top fighters, Ruell (Ed Kannemeyer) to kidnap Olga. Steve decides to return but as a member of Miyagi's team. When the tournament begins, Steve finds himself at constant odds with von Rudloff. When von Rudloff forces Steve to face Olga, a plan is set up for the couple to escape. However, Steve and Olga find themselves kidnapped along with nearly all of the karate fighters with the exception of Luke (Douglas Baggott), a monster fighter on von Rudloff's team. Von Rudloff also learns that his henchman Chico was responsible for helping Steve and Olga. When the fighters make their break out of von Rudloff's castle, Steve takes on Luke in the middle of the desert and after defeating him, von Rudloff finds a gun on the ground and knowing that he cannot ever accept defeat, he takes his own life.",action
9747,The Octagon,"A martial artist (Chuck Norris) must stop a group of terrorists trained in the ninja style by his half-brother (Tadashi Yamashita).[5]
The film opens with a short scene at a terrorist training camp. The main instructor, Katsumoto (Yuki Shimoda) tells the graduating class that all of their actions and whereabouts will be known and that if they do anything to expose or harm the group, they and their families will be killed.[6]
The film then cuts to an assassination of a diplomat by members of the group. One of the terrorists is shot by a bodyguard while the others escape.
We then meet Scott James (Chuck Norris), a retired karate champion, who is at a dance performance. After the performance, he meets one of the dancers named Nancy (Kim Lankford). He takes her out to dinner because he is interested in how she incorporated the martial arts into her routine. She seems distant during the dinner and is more concerned about a recent assassination that took place abroad. She wonders if “an American was killed"".[6]
Scott takes Nancy home, and he senses that someone is there. The lights do not work as they enter, and then they are attacked by a group of ninjas. Scott fights them off, but they end up killing Nancy. After he restores power to the house, he finds that the entire family has been killed.[6]
The next day, Scott goes to see an old mercenary friend named McCarn (Lee Van Cleef). Scott asks him if he knows about any ninja activity. However, McCarn tells him, “If you are seeing ninja, you are seeing ghosts.” McCarn tries to recruit Scott to join his cause in eliminating terrorists, but Scott declines.
On his way back from McCarn’s place, Scott encounters a rich lady named Justine (Karen Carlson), who managed to get her car stuck on the side of the road. She asks Scott for help, and after he helps her, she takes his keys, forcing him to walk back to her place to get them.[6]
Scott goes back to Justine’s house to get his keys, and she pretends to find them in her purse. She offers to drive him back since “It would be the only decent thing to do.” Scott agrees, only on the condition that this time, he drives.
On their way back, Scott and Justine are chased by two cars. Scott and Justine manage to evade their pursuers. After Scott gets back to his car, Justine identifies one of the cars as being “her bodyguards.” Scott then asks her out to dinner since she has now become “an object of concern"".
Before their date, Scott goes back to McCarn’s and notices that the car that was chasing them belonged to McCarn. He confronts Justine, and she confesses that she hired McCarn to be her bodyguard because McCarn told her that Scott would not accept her offer of employment. She also wants him to kill a man named Seikura (Tadashi Yamashita). She confesses that her father was killed by terrorists and that she has since been on a crusade to eliminate them. She has managed to help “retire” two of the three main terrorist leaders, but Seikura remains. Scott is insulted by her actions, and he promptly declines her offer and leaves.[6]
Scott’s friend, A.J. (Art Hindle) is a karate champion and feels frustrated by the recent terrorist attacks that have taken place both abroad and on Nancy. He decides to start going after terrorists himself. He tries to find a German terrorist, but that terrorist is killed by McCarn’s men before A.J. can catch him. McCarn then fills A.J. in on just who he is and his relationship to Scott. He also tells A.J. that it was Nancy’s brother who was killed in the terrorist attack abroad and that she was killed in retaliation. A. J. decides to join McCarn’s cause.[6]
We see a flashback where Scott remembers training with his half brother Seikura. He and his brother are seen running through an obstacle course to obtain a sword. Scott stumbles at the end but still manages to get the sword. However, his enraged brother grabs the sword and declares it to be his. Scott’s adoptive father (John Fujioka), then berates Seikura and disowns him. He tells Scott that Seikura is now his enemy for life.
The movie cuts to a scene at the Octagon training camp where a new group of recruits has graduated. One recruit, Aura (Carol Bagdasarian) has reservations about what she is doing but leaves the camp to report to a terrorist dispatcher named “Doggo” (Kurt Grayson).[6]
Scott realizes that A.J. and McCarn are right, so he signs up and attends a mercenary recruiting camp in an attempt to be recruited so he can get to Seikura. He gets interviewed at Doggo’s camp, but Doggo knows his true identity, and he refuses his services. Scott then has to fight his way out of Doggo’s facility, defeating “Longlegs” (Richard Norton) and “Hatband” (Aaron Norris) and returns to his hotel.[6]
Later that day, Aura grabs Scott’s file and defects from Doggo’s camp. Meanwhile, Justine manages to recruit A.J. to find Seikura. As Scott goes back to his room, he encounters Aura, and she tells him that she regrets what she has done and that she can lead him to Seikura’s camp. Justine then comes by to try once more to get Scott to help her, but she gives up after seeing Aura and decides to get Seikura herself. As she goes out of the hotel with A.J., she is hit with a poisoned dart from one of Doggo’s men and dies. A.J. then leaves to find Seikura’s place while McCarn stays behind to watch Scott. A few hours later, several ninja are seen scaling the hotel. They attack Scott and Aura but are defeated—the last shot by one of McCarn’s men as he is descending the hotel. A firefight then erupts between McCarn’s men and Doggo’s men, and all of Doggo’s men are killed. Scott and Aura then depart to Mexico for Seikura’s terrorist camp.[6]
A.J. is then shown finding Seikura’s place (located in Mexico or an unnamed Central American nation) the hard way, and he is eventually captured and taken prisoner. Aura gets Scott to the compound, and Scott infiltrates the camp. He is eventually discovered and led to an area known as “The Octagon” (a building filled with treacherous paths and enemies). Scott fights his way through and ends up fighting Seikura’s “enforcer” named “Kyo” (again, played by Richard Norton). Scott defeats Kyo, and as a result, Seikura kills A.J. by slitting his throat. Scott and Seikura fight, but Seikura escapes the compound. Meanwhile, Aura infiltrates the compound and recruits several of her fellow former trainees to fight back and burn the compound to the ground. They end up destroying the entire camp, but only Aura manages to survive. She then goes after Scott and Seikura. As the sun is coming up, she sees Seikura attack Scott from behind. However, Scott stabs Seikura with his sword and the movie ends with Scott standing over Seikura’s body.[6]",action
9758,Raise the Titanic,"The film opens on the fictional island of Svardlov in the far Barents Sea above the Soviet Union where an American spy breaks into an old mine where he discovers the frozen body of a US Army sergeant and mining expert Jake Hobart. Next to the frozen corpses is a newspaper from 1912, as well as some mining tools from the early part of the 20th century. Using a radiation meter, the spy discovers that what he seeks, an extremely rare mineral named byzanium, was there but had been mined out leaving only traces. He is then chased and shot by Soviet forces, but is rescued at the last moment by Dirk Pitt (Richard Jordan), a former U.S. Navy officer and a clandestine operator.
It is explained by scientist Gene Seagram (David Selby) and the head of the National Underwater and Marine Agency (NUMA, a NASA-like agency for sea exploration) admiral James Sandecker (Jason Robards) that the mineral their man was trying to find is needed to fuel a powerful new defense system, codenamed ""the Sicilian Project"". This system, using laser technology, would be able to destroy any incoming nuclear missiles during an attack and ""make nuclear war obsolete"".
The CIA and Pitt soon find out that boxes of the raw mineral were loaded onto the Belfast-built RMS Titanic by an American in April 1912. A search is then conducted in the North Atlantic to locate the sunken ocean liner. The search team is aided by one of the Titanic's last survivors (Alec Guinness) who explains he was also the last person to see the American alive. Just before the Titanic foundered, the sailor said he locked the man inside the ship's vault containing the boxes of mineral, his last words being ""thank God for Southby!"" At this point it is decided that the only way to get a hold of the byzanium is to literally ""raise the Titanic"" from the ocean floor. Pitt comes up with a salvage plan that Sandecker presents to the president. The President signs off on the plan and Pitt is put in charge of the operation.
At this time the Soviet KGB station chief in Washington D.C., Andre Prevlov (Bo Brundin), is receiving bits of information on the project and leaks them to a reporter, Dana Archibald (Anne Archer), who is also Seagram's lover as well as a former girlfriend of Pitt's. The story blows the project's secret cover and Sandecker must hold a press conference to explain why the ship is being raised. Questions are raised about byzanium, but are not answered.
After a lengthy search, the Titanic is located and the search team, with help from the U.S. Navy, begins the dangerous job of raising the ship from the seabed. One of the submersibles, Starfish, experiences a cabin flood and implodes. Another submersible, the Deep Quest, is attempting to clear debris from one of the upper decks when it suddenly tears free of its supports, crashes through the skylight above the main staircase and becomes jammed. Pitt decides they must attempt to raise the ship before the Deep Quest crew suffocates.
Eventually, the rusting Titanic is brought to the surface by using explosives to break the hull loose from the bottom suction and compressed air tanks to fill buoyancy aids. During the ascent, the Deep Quest safely breaks away from the ship.
When Prevlov, who has been aboard a nearby Soviet spy ship, sees the Titanic, he arranges a fake distress call to draw the American naval escorts away from the operation. He then meets with Sandecker, Pitt and Seagram aboard their vessel. He tells them that his government knows all about the mineral and challenges them for both salvage of the Titanic as well as ownership of the ore, claiming it was illegally taken from Russian soil. Prevlov says that if there is to be a ""superior weapon"" made from the mineral, then ""Russia must have it!"" Sandecker tells Prevlov that they knew he was coming and what he would threaten them with. Pitt then escorts him to the deck where U.S. fighter jets and a nuclear attack submarine have arrived to protect the Titanic from their attempted piracy. Prevlov leaves in defeat.
The ship is then towed into New York harbor and moored at the old White Star Line dock, its original intended destination. The arrival is greeted with much fanfare, including huge cheering crowds, escorting ships, and aircraft. On entering the watertight vault, the salvage team discovers the mummified remains of the American, but no mineral. Instead, they find only boxes of gravel. As they contemplate their probable failure, Sandecker tells Pitt and Seagram that in addition to powering the defensive system, they were actually thinking of a way to weaponize the byzanium and create a superbomb, which went against everything the scientist believed in. As Pitt listens, he goes through the belongings of the dead American found in the vault and finds an unmailed postcard. He then realizes that there was a clue in those final words, ""thank God for Southby!"". The postcard showed a church and graveyard in the village of Southby on the English coast, the place the American had arranged a fake burial for the frozen miner Jake Hobart prior to sailing back to the United States on the Titanic. Pitt and Seagram alone go the small graveyard and find that the byzanium had indeed been buried there. They decide to leave the mineral in the grave because they agree its existence would destabilize the status quo that maintains the peace between the West and the Soviet Union.",action
9762,Running Scared,"The movie takes place in April 1961, prior to the proposed Bay of Pigs Invasion. Two soldiers, LeRoy Beecher (Judge Reinhold) and Chaz McClain (Ken Wahl), are just finishing a two-year Infantry tour in the Army in Panama. They hitch a ride on a military C-47 back to their home state, Florida. LeRoy has stolen a footlocker full of surveillance equipment (punishable with time in Leavenworth). During the flight to Florida the plane makes a brief stopover on some secret Caribbean island base. While at the island LeRoy, goofing around, unwittingly takes photographs of the base and of Chaz (thereby identifying him) with an infra-red camera. He leaves the tear-off part of the negative on the C-47's floor. The plane then continues to Florida, where Leroy and Chaz disembark and workers (presumably anti-castrist Cubans) sweep up the aircraft and find LeRoy's camera tear-off. The workers take the negative to two superiors (John Saxon and Bradford Dillman), who are planning an invasion of Cuba from the secret island base. They develop LeRoy's negatives and now can visually identify Chaz.
The anti-castrists know the plane was heading to Florida and now think that LeRoy and Chaz are spies sent to give away the secret of the island base and presumed invasion. Saxon and Dillman assemble a large number of armed men and proceed to search for and locate LeRoy and Chaz throughout the Florida Everglades. When Chaz and LeRoy return home they try to re-adjust to civilian life. They thumb a ride with a teenage boy who is on his way to school and drives a souped-up hot rod car. The boy, who has fantasies of joining the army himself, gives Chaz and LeRoy a crazy high-speed ride through the back country, dropping them off in town.
Afterward, they go to a diner where the latest music Del Shannon (""Runaway"") and Ronnie Dawson (""Decided By The Angels"") is playing on a jukebox and they encounter two young high school girls with a station wagon. One of the teenage girls shows LeRoy a new dance called The Twist. The boys go to a secluded spot with the girls and ""score"" with the girls before they go off to school. However, the boys have not been off the plane for long before Saxon's armed men, having identified them in the diner, are chasing and shooting at them in the night. LeRoy makes it out of the first ambush and gets back to his parents' home. Chaz loses contact with him but survives the ambush.
The next morning Chaz is searching for LeRoy when a fancy convertible driven by an attractive, rich young woman named Sallie Mae stops to give him a lift. She at first refuses to take Chaz to LeRoy's parents' house, and he threatens to cut up her car seats with a razor blade if she abandons him on the road. Sallie Mae consents to take Chaz to LeRoy's parents' house deep in the Everglades swamp, where her car breaks down in the driveway. LeRoy, Chaz and Sallie Mae are reunited. It is revealed that LeRoy's father ""Pa"" Beecher (Lonny Chapman) runs an illegal moonshine operation. The Beechers, Pa and Ma, have been out shopping and return to encounter Chaz and Sallie Mae who helps Ma Beecher with the groceries. Pa Beecher's temper hits the roof when he sees Sallie Mae's broken down convertible in the driveway, as it easily gives away the location of his home and that he's running an illegal liquor operation. The soldiers track Chaz and LeRoy to LeRoys' parents' home after spotting Sallie Mae's car.
A shootout occurs at the Beecher home. Pa Beecher is angry that his moonshine secret is out, and curses his son LeRoy. LeRoy, along with Chaz and Sallie Mae, steal one of Mister Beecher's airboats and an exciting long chase continues through the swamp. Chaz later returns to his own father's (Pat Hingle) house and encounters his old girlfriend. She, seeing Sallie Mae, thinks that Chaz has impregnated Sallie Mae. Sallie Mae also returns with Chaz to her parents' (who are vacationing in Europe) palatial estate and the two clean themselves up. After much adventure eluding Saxon, Dillman and their men, LeRoy and Chaz eventually overcome them. A romance has developed between Chaz and the wealthy Sallie Mae.",action
9803,Arthur,"Arthur Bach is a spoiled alcoholic from New York City, who likes to be driven in his chauffeured Rolls-Royce Silver Wraith limousine through Central Park. Arthur is heir to a portion of his family's vast fortune, which he is told will be his, only if he marries the upper class Susan Johnson, the daughter of a business acquaintance of his father. He does not love Susan, but his family feels that she will make him finally grow up. During a shopping trip in Manhattan, accompanied by his valet Hobson, Arthur witnesses a young woman, Linda Morolla, shoplifting a necktie. He intercedes with the store security guard on her behalf, and later asks her for a date. Despite his attraction to her, Arthur remains pressured by his family to marry Susan.
While visiting his grandmother Martha, Arthur shares his feelings for Linda, but is warned again that he will be disowned if he does not marry Susan. Hobson, who has been more like a father to him than Arthur's real father, realizes that Arthur is beginning to grow up, and secretly encourages Linda to attend Arthur's engagement party. Hobson confides in Linda that he senses Arthur loves her. Linda crashes the party, held at the estate of Arthur's father, and she and Arthur eventually spend time alone together, which is tracked by both families. Hobson is later hospitalized, and Arthur rushes to his side, vowing to care for the person who has long cared for him. After several weeks, Hobson dies, and then Arthur, who has been sober the entire time, goes on a drinking binge. On his wedding day, he visits the diner, where Linda works, at and then proposes to her. At the church, he jilts Susan, resulting in her abusive father, Burt Johnson, attempting to stab Arthur with a cheese knife, though he is prevented by Martha.
A wounded and groggy Arthur announces in the church that there will be no wedding then passes out soon after. Later, Linda attends to his wounds, and they discuss living a life of poverty. A horrified Martha tells Arthur that he can have his fortune, because no Bach has ever been working class. Arthur declines, but at the very last minute, he talks privately to Martha. When he returns to Linda's side, he tells her that he declined again – Martha's dinner invitation, he means – but he did accept $750 million. Arthur's pleased chauffeur Bitterman drives the couple through Central Park.",romantic comedy
9804,Back Roads,"Amy Post is a $20-a-trick hooker in Mobile, Alabama. One night she entertains Elmore Pratt, an ex-boxer who has just been fired from his job at a car wash. He cannot pay her for services rendered.
Pratt punches a plainclothes police officer. He and the prostitute drive away together, intending to head for California, bickering along the way.",romantic comedy
9821,Continental Divide,"A Chicago newspaper reporter, Ernie Souchak (Belushi), is investigating a corrupt city councilman. After doing an expose on some corrupt land dealings by the councilman, he is assaulted by two crooked police officers sent by the councilman and ends up in the hospital.
Souchak's editor decides to send him out of town for his own safety. A city boy, Souchak reluctantly travels to the Rockies to interview the reclusive Dr. Nell Porter (Brown), who has been conducting research on bald eagles for several years.
The two are at odds at first. After finding out he is a reporter, she is reluctant to let him stay, but realizes he is not able to survive in the mountains without his guide, who is not scheduled to return for two weeks. He is skeptical about her work, but comes to admire Porter for her strong character and dedication. Eventually, they fall in love. At first she lets him stay as long as he doesn't write his story. As they learn to respect each other, she agrees to let him write about her. In his adventures, he sprains his back in an accident, is mauled by a mountain lion and meets an All-American football player who has left civilization and become a mountain man.
Souchak returns to Chicago with her still very much on his mind. When he finds out that one of his sources has been ""accidentally"" killed, he once again pursues the investigation until the day the councilman flees the country.
The same day, Souchak finds out that Porter is coming to Chicago to do a presentation at a symposium. With some uncertainty, Souchak decides to attend the presentation. They rekindle their relationship. Happy as they are together, they cannot reconcile the different paths each has taken in life, and so they reluctantly decide to part again.
Souchak, seeing her off on the train, ends up traveling with her all the way back to Wyoming. After getting off at her stop, they decide that they cannot do without each other, and decide to marry. The movie ends with him catching the train back to Chicago, and the newlyweds promising to meet again very soon.",romantic comedy
9830,Enter the Ninja,"Cole, a veteran of the Angolan Bush War, completes his ninjutsu training in Japan. Cole goes to visit his war buddy Frank Landers and his newlywed wife Mary Ann Landers, who are the owners of a large piece of farming land in the Philippines. Cole soon finds that the Landers are being repeatedly harassed by a wealthy CEO named Charles Venarius in order to get them to sell their property because, unbeknownst to them, a large oil deposit is located beneath their land. Cole thwarts the local henchmen Venarius has hired to bully and coerce the Landers.
Cole and Frank infiltrate Venarius' base, and defeat a number of his henchmen. In the aftermath, Frank gets drunk and confesses to Cole that he is impotent. Mary Ann comes to Cole that night and they have an affair. Venarius, learning that Cole is a ninja, hires a ninja of his own to eliminate Frank and Cole - Hasegawa, who is a rival of Cole from their old training days.
Hasegawa strikes the Landers' compound at night, killing Frank in front of Mary Anne, then abducting her to Venarius' martial arts arena. Cole enters, and picks off the henchmen one by one before ultimately killing Venarius. Hawegawa releases Mary Ann, and the two ninja engage in a final battle. Cole defeats Hasegawa, who begs to be allowed to die with honour, and Cole beheads him.",action
9834,An Eye for an Eye,"Undercover San Francisco narcotics cops Sean Kane (Norris) and Dave Pierce (Terry Kiser) head into a dark alley to meet up with an informant named Tony Montoya (Mel Novak), who promises to break their big investigation wide open, by providing the name of the oriental drug ringleader. Minutes later Pierce is dead, after having been shot, hit by a car, and burned. Kane gets into trouble with his boss, Captain Stevens (Roundtree), for sending one of the killers flying out a third-story window to his death in view of the public. Rather than face discipline, and told to keep his distance by his superiors, Kane decides to quit the force, and sets out to exact vengeance.
Dave’s girlfriend, reporter Linda Chan (Rosalind Chao) is also angry, and vows to bring the drug gang down herself, by way of investigative reporting and public exposure. However, when Linda uncovers the secret that Kane and Pierce never found, she too is killed. Kane sets out for revenge, as does Linda's grieving father James Chan (Iwamatsu), and Linda's close friend, news editor Heather Sullivan (Cooper). Kane asked his friend and fellow detective Tom McCoy (Clark) to keep him informed about the case, but Stevens takes charge of the case, and all the larger aspects of the case go through him.
Kane and Chan are attacked by hitmen connected to the drug cartel. With Heather's help, Kane sees Montoya near a ship in one of Linda's televised news reports. Linda's boss and mentor, editor-in-chief Morgan Canfield (Lee), offers Kane's support to find the killers. Kane finds Chan confronting Nicky LaBelle (Stuart Pankin), Montoya's boss. LaBelle reluctantly reveals Montoya's location. After Kane and Chan confront Montoya, he reveals that he was bait, because the drug dealers were on to them. Before he can revealed names, the same hitmen who killed Linda open fire and kill Montoya. Kane suspects a mole is helping the dealers remove any loose ends.
When Heather's apartment is trashed, Kane suspects the people who killed Linda are looking for a tape that Linda discovered. Heather tells Kane the ship where Linda was doing her interview was a freighter called the Sulu Sea. Kane checks the cargo hold of the Sulu Sea, and finds that the drugs are imported inside fireworks transported from Hong Kong. After being spotted, Kane sets the fireworks on fire, and escapes as Stevens and his fellow officers watch in the distance.
Heather finds Linda's tape in a locker at the train station, with a key hidden in her shoe. She leaves a message for Kane to meet her at the news station. He meets McCoy there and they go to Canfield's office. The tape contains the phone conversation between Canfield and the dealers, which reveals Canfield as the ringleader, and McCoy reveals himself to be a traitor. As Canfield and his hitmen take Heather with them, Kane is about to be killed, when Chan arrives and takes down the assailants. Kane confronts McCoy over his involvement with Canfield, who tells him was in it for money, and that he wasn't the one who drove that car that killed Dave. McCoy chases Kane on the roof, and is killed during a fight with Kane.
Kane and Chan go to Canfield's estate, where he is meeting with the other drug dealers. When the truck carrying the drugs is spotted by Stevens and the SFPD, Kane and Chan fight Canfield's men as Stevens and the cops fire at them. Chan confronts the assassin who killed Linda known as The Professor (Professor Toru Tanaka), but is incapacitated by the Professor's brute strength. Kane then fights the Professor, and after a brutal fight, finally takes down The Professor by kicking him through a glass coffee table.
Canfield then arrives with Heather as a hostage. Kane remembers seeing Canfield's dog in the car that killed Dave, and realizes that Canfield was driving the car. When Chan distracts Canfield, Kane overpowers him as Stevens and the cops arrive. Stevens reveals that he knew about McCoy and Canfield's involvement, but couldn't move in without evidence, and now that they have the drug shipment, they can convict Canfield. With encouragement from Heather and Chan, Kane lets go of his revenge and finds Linda's tape on Canfield. He gives the tape to Stevens, and Canfield is taken into custody. Kane and Stevens part ways amicably, and he leaves the estate with Heather and Chan.",action
9862,Knightriders,"Billy leads a traveling troupe that jousts on motorcycles. ""King William"", as he styles himself, tries to lead the troupe according to his Arthurian ideals. However, the constant pressure of balancing those ideals against the modern day realities and financial pressures of running the organization are beginning to strain the group. Billy is also plagued by a recurring dream of a black bird. Tensions are exacerbated by Billy's constantly pushing himself despite being injured and the arrival of a promoter named Bontempi, who wants to represent the troupe.
After Billy spends a night in jail watching a member of his troupe beaten because Billy has refused a payoff to a corrupt local cop, Billy returns to the fairground where the troupe is next to perform and is shocked that some members want to join with the promoter. His sense of betrayal is heightened when his queen, Linet, admits that her feelings for him may not be the reason she remains with the troupe.
Things come to a head after Morgan, leader of the dissident faction who believes he should be king, wins the day's tournament and a fight breaks out between the troupe and rowdy members of the crowd. Billy faces an Indian rider with a black eagle crest on his breast plate, the black bird of his dreams. Billy defeats the Indian but aggravates his injury; later commissioning the Indian as a knight in his troupe. Morgan and several other riders leave the troupe to follow Bontempi. Billy's loyal supporter Alan also departs with his new girlfriend Julie and friend Bors to try to sort out his emotions. Billy and the remainder of the troupe settle at the fairground to await the dissidents' return.
Troupe member Pippin comes to terms with his homosexuality and finds love with Punch. Alan's girlfriend, Julie, has run away from home to escape her alcoholic and abusive father and her weak-willed mother. While Alan is soul searching, he realizes Julie is using him as an escape and that he really desires Billy's Queen Linet. Alan takes a confused and hurt Julie home to her parents.
Meanwhile, Morgan's riders succumb to infighting. Alan finds Morgan and helps him realize that there can only be one king and he sees about signing with Bontempi. However, after seeing rowdy drunken behavior in his friends, Morgan and his riders return to Billy's fair to challenge for the crown. Billy announces his retirement and sets forth the rules: all knights compete, and any man knocked off his motorcycle is out. Morgan is victorious, and is crowned king by Billy. Angie, the troupe's mechanic, is then crowned queen by Morgan, after he realizes she is the woman he loves. Linet finds love with Alan.
Billy leaves the troupe, accompanied by the silent eagle-crested knight, and returns to thrash the crooked cop. While riding again, Billy, weak and hallucinatory from loss of blood from his injury, has a vision of riding an actual horse. Immediately afterwards he is struck by an oncoming truck. The entire troupe gathers at Billy's funeral to say farewell to its fallen king.",action
9871,Ms. 45,"While walking home from work, Thana, a mute seamstress in New York City's Garment District, is raped at gunpoint in an alley by a mysterious, masked attacker. She survives and makes her way back to her apartment, where she encounters a burglar and is raped a second time. Thana, her name an allusion to Greek god of death Thanatos,[2] hits this second assailant with a small sculpture then bludgeons him to death with an iron, and carries his body to the bathtub. She goes to work the next day, and after encountering working with an iron, watching her boss Albert rip a shirt off a mannequin, she goes into shock state, which worries her co-workers. However, when she looks at the trash bin at her office, she decides to dismember the burglar's corpse and throw the parts away in various locations of the city.
After being sent home, she dismembers the burglar's body, then keeps his .45 caliber pistol, puts the pieces into plastic garbage bags, and then stores them in her fridge. After cleaning her bathtub, she decides to take a shower, but as she strips, she begins to hallucinate the first attacker in the mirror grabbing her breast. This puts her into shock, and notices that organs and body fluids from the burglar are overflowing in the drain. Her nosy neighbor, an old, recently widowed woman named Mrs. Nasone who is the landlady and owns a small dog named Phil, also starts to notice her odd behavior.
On her walk home from work the next day, Thana is noticed by a leering young man on the street while she is disposing of one of the bagged body parts; thinking that she accidentally dropped the bag, he retrieves it, frightening her. He chases her through the alleys of the city, and fearing another sexual assault, she fatally shoots him when she is cornered by him. The event furthers her impulse for vengeance. While running home from the incident, the landlady Mrs. Nasone notices she ran up the stairs violently and started throwing up. She insists in calling a doctor for Thana, and Mrs. Nasone's dog, Phil, starts to become attracted to her fridge. Thana escorts her out of her apartment while still in shock.
As the limbs start to bring attention towards the media, Albert brings her into his office and notices she hasn't been selling and feeling well lately. He decides to invite her to a Halloween party that he is throwing for work, and tells her that there will be ""many boys there [her] age"". She responds to him in writing, saying ""I'll try"". As Thana's vengeance increases, she starts regularly targeting and killing several men, such as a fashion photographer, a pimp who assaults a prostitute because of debt, several members of a gang, a Saudi Arabian businessman and his limousine driver, and even drives a recently dumped salesman to suicide after her gun jams.
Her boss, Albert begins to notice that she ditched work after going to dinner with her co-workers, resulting in her co-workers having to finish her work. However, she promises to go to the party with him in exchange for staying out of trouble for her absence. Thana notices that Mrs. Nasone's dog is attracted to the smell of the burglar's limbs so she asks her if she could take it for a walk and appears to kill the dog. She leaves a note saying that Phil ran away and will probably find his way back home soon. At the party, she dresses up as a nun with red lipstick and attends with Albert as a couple. Meanwhile, Mrs. Nasone goes into her apartment and finds the burglar's dismembered head, and determines that she killed Phil, and tells police that she is at a party with her co-workers. While going upstairs in private, Albert tries to seduce her, and in revenge for his borderline-sexual behavior towards her in the past, she shoots him. The party stops and her co-workers run upstairs towards Thana, but then soon realize that she was the murderer when she steps out of the room with her pistol. Thana then begins a shooting spree and targets many of the men present. Her co-worker Laurie notices the knife that was used to cut the cake, and without Thana noticing, is stabbed by her behind her back, but not before turning around to acknowledge who it is. Thana appears to scream in pain ""sister"", falls to the ground and dies.
After the party massacre, Mrs. Nasone is seen crying, in memorial for her husband, Thana, and her dog Phil. Outside her apartment door, Phil is shown running up the stairs and waiting by the door for Mrs. Nasone to let him in, indicating that Thana didn't kill Phil like presumed.",action
9908,They All Laughed,"Detective John Russo (Ben Gazzara) attempts to cheat on his girlfriend, country singer Christy Miller (Colleen Camp), with a blonde taxi driver he calls Sam (Patti Hansen), with the connivance of his colleague Arthur Brodsky (Blaine Novak). Russo has met the taxi driver en route from a meeting at which he was assigned to follow Angela Niotes (Audrey Hepburn), wife of a European tycoon.
Detective Charles Rutledge (John Ritter) falls in love with Dolores Martin (Dorothy Stratten), whose husband has also hired him to spy on her. Charles is cautioned against this infatuation by his buddy Arthur. Feeling slighted by Russo's infidelity, Christy throws herself at Charles, but she ultimately falls in love with Dolores's extramarital paramour, Jose (played by Sean Ferrer, who is Audrey Hepburn's son in real life).
Russo's pursuit of Angela leads him to fall in love with her. He is grief-stricken when her husband and she return to Europe, but the two women have arranged that Sam will take her place and nurse his broken heart. Dolores does fall for Charles and they plan to marry when her divorce is final, the only happy ending.",romantic comedy
9927,Best Friends,"Richard Babson and Paula McCullen are a couple of Hollywood screenwriters who have lived and worked together for a number of years. Richard would like to get married, but Paula does not feel the need.
Having just written a film script for producer Larry Weissman, the couple decides to get married without letting anyone else know. Paula can tell it is important to Richard, so she reluctantly agrees.
They are wed in a downtown Los Angeles marriage bureau by a man named Jorge Medina in barely understandable English. For a honeymoon trip, they travel cross-country by train to inform their parents back East about what they have just done.
The first stop is Buffalo, New York, where they are met in a winter snowstorm by Paula's parents. Eleanor and Tim McCullen are old-fashioned, so Paula informs Richard that they will need to sleep in separate beds. Richard isn't happy about being treated like a child, or about the frigid climate and the constantly open window.
From there they go to Virginia to visit Richard's parents, who reside in a giant high-rise condominium. No window is ever opened there, and Paula, feeling increasing panic attacks, is in dire need of some fresh air. She also accidentally overdoses on Valium and goes face-first into a salad at lunch.
The Babsons excitedly believe that Paula and Richard are engaged but devastated to learn that they are already married. They throw a party at a restaurant, where Paula is upset by the comments of guests.
She and Richard are barely on speaking terms when Larry Weissman shows up, desperate for pages of a script rewrite. Paula insists that they return home to California immediately, but once there, their personal and professional relationship has soured.
Larry locks them in a room, where the writers bicker and get no work done. Paula again demands fresh air until Richard breaks a window. When they finally talk it through, they are in agreement that getting married might not have been the best idea. They finish the rewrite and then walk off into the sunset, which turns out to be a Hollywood prop.",romantic comedy
